Date,yield_2y10y,yield_3m10y,hy_spread,hy_spread_vel,vix_level,vix_change_30d,aaii_bull_bear,trends_fear,claims_ma4_chg,cfnai_ma3,lei_mom,sector_rotation,crash_label
1995-01-31,0.34,1.6,3.79,0.6299999999999999,12.274285679771786,-13.4220072989079,-14.61060705688299,18.25,0.3762227238525151,0.4233333333333333,-4.694835680751175,-16.02659774072904,0
1995-02-28,0.43,1.28,3.79,0.6299999999999999,11.470000016061883,-6.552606682728412,14.78895692237052,18.25,0.8961911874533213,0.16333333333333325,-17.24137931034482,-16.02659774072904,0
1995-03-31,0.4,1.32,3.79,0.6299999999999999,12.166521735813307,6.072552038152201,-12.229222138786476,18.25,-0.293040293040292,-0.06666666666666675,-6.547619047619035,-16.02659774072904,0
1995-04-30,0.47,1.2,3.79,0.6299999999999999,12.442631570916427,2.2694229386067244,9.140601892737422,18.25,2.164502164502169,-0.2900000000000001,-24.203821656050962,-16.02659774072904,0
1995-05-31,0.41,0.49,3.79,0.6299999999999999,12.265909194946289,-1.4202974263355372,-5.072674852515107,18.25,0.6114130434782705,-0.2000000000000001,-12.605042016806712,-16.02659774072904,0
1995-06-30,0.42,0.61,3.79,0.6299999999999999,11.89681811766191,-3.0090804637331714,7.453731017448973,18.25,-1.080351114112088,-0.10000000000000009,10.576923076923062,-16.02659774072904,0
1995-07-31,0.57,0.85,3.79,0.6299999999999999,12.514000129699706,5.187790600257514,-4.323248162481505,18.25,-0.26560424966799445,-0.1133333333333334,-1.7391304347826098,-16.02659774072904,0
1995-08-31,0.43,0.83,3.79,0.6299999999999999,12.79826085463814,2.271541649290798,20.730514421355597,18.25,0.5645730416372619,0.1266666666666666,43.362831858407105,-16.02659774072904,0
1995-09-30,0.34,0.77,3.79,0.6299999999999999,12.057000017166137,-5.791887240705584,14.78479754731496,18.25,0.0,0.09333333333333327,-7.407407407407418,-16.02659774072904,0
1995-10-31,0.42,0.55,3.79,0.6299999999999999,14.357272711667148,19.07831708738492,-8.16295807219296,18.25,1.5027322404371546,0.19333333333333327,16.666666666666675,-16.02659774072904,0
